Academy,Country,City/Region,Website,Contact Email,Type,Priority,Notes,Status,Contacted On,Response
Nail Studio Academy,Germany,Augsburg,https://nailstudioacademy.de/,contact form only (DE rule),Independent,High,In-person training rooms; classic gel curriculum,,,
Beauty Nails Akademie (BNA),Germany,Isernhagen,https://www.beauty-nails-akademie.de/,contact form only (DE rule),Independent,High,4-day in-person gel technique training,,,
Lynis Nailacademy,Germany,Online (DE/AT),https://lynis-nailacademy.de/,contact form only (DE rule),Independent (online),Medium,Large online academy; gel + gellack + nail art courses; also markets to Vienna,,,
Nailart Akademie,Germany,,http://www.nailart-akademie.de/,contact form only (DE rule),Independent,Medium,Gel modelling theory + practice in basic training,,,
Nail Academy (Hasi Germany),Germany,,https://nail-academy.net/,contact form only (DE rule),Retailer-affiliated,Low,Run by supplier Hasi Germany - may resist outside brands,,,
ARCH Academy,Netherlands,Gelderland,https://www.archacademy.nl/,info@archacademy.nl,Independent,High,Recognised diploma programme; PowerGel/polygel focus - MultiMix angle,,,
Nail XL Academy,Netherlands,,https://www.nailxl.nl/,info@nailxl.nl,Independent,High,Gel nail stylist course 5.5 days or 10 evenings,,,
NailMasterSchool,Netherlands,,https://www.nailmasterschool.nl/,,Independent,High,Gel + BIAB + nail art; led by Grand Master Educator; WhatsApp +31 6 47968915; email on /contact,,,
Nail Academy Nicolle,Netherlands,,https://www.nail-academy-nicolle.nl/,,Independent + wholesale,High,13-day allround course; also runs a wholesale shop - could be reseller too; email obfuscated on site - check contact page manually,,,
Zaza's Academy,Netherlands,,https://www.zazas-academy.nl/,,Independent,Medium,Allround vocational nail artist training; email obfuscated on site - check contact page manually,,,
Florence Academy,Netherlands,,https://florenceacademy.nl/,academy@florencebeautyandnails.nl,Independent,Medium,Nail styling programmes with external product lines,,,
AP Academy,Poland,Kielce,https://ap-academy.pl/,,Independent,High,Salon + training centre; publicly-funded courses,,,
Centrum Szkoleniowe Manicure & Pedicure,Poland,,https://nailacademy.pl/,,Independent,High,RIS-registered training institution,,,
Folly Academy,Poland,,http://akademia.follynail.com/,,Independent,Medium,Nail styling workshops,,,
Paulina Pastuszak Academy,Poland,Online,https://paulinapastuszak.pl/,,Independent (online),Medium,World Cup winner; online + mentoring; strong influencer reach,,,
BeautyNail Academy,Poland,Warsaw,https://beautynail.pl/,,Independent,High,Individual learning paths on live models,,,
AlleAkademia,Poland,Lodz,https://alleakademia.com/,,Independent,Medium,Training + workshops + demos in central Lodz,,,
Akademia Only Beauty,Poland,Poznan,https://akademiaonlybeauty.pl/,,Independent,Medium,Beginner and advanced nail styling courses,,,
MNails Academy,France,,https://mnails.academy/,,Independent,High,Dedicated prothesie ongulaire training centre,,,
Formanails,France,,https://www.formanails.fr/,,Independent,High,State-recognised 3-day intensive; covers gel colour + chablon,,,
Academie Anais Abaakil,France,Brittany,https://www.formationonglerie-bretagne.fr/,,Independent,Medium,UV gel + nail art expertise; novices and pros,,,
Centre Europeen de Formation,France,Distance,https://www.centre-europeen-formation.fr/,,Independent (large),Medium,Big distance-learning school; gel extensions module,,,
Ecole Terrade,France,National chain,https://ecoleterrade.com/,,Independent (chain),High,Major aesthetics school chain - one deal = many campuses,,,
Campus des Ecoles,France,,https://www.campus-des-ecoles.fr/,,Independent,Medium,Certified prothesie ongulaire programme,,,
Academia Casanova,Spain,,https://www.academiacasanova.com/,,Independent,High,160h integral nail technician course; 40+ years reputation,,,
Carala y Coco,Spain,Barcelona,https://caralaycoco.com/,,Independent,Medium,Gel courses levels 1-2 by educator nail artist,,,
Unas y Estetica,Spain,Madrid,https://www.unasyestetica.com/,,Independent,High,Self-described no.1 nail training centre in Madrid,,,
Verona Nails (Oneverona),Spain,Tenerife,https://www.veronanails.es/,,Independent,Medium,Professional nail courses Canary Islands,,,
Academia Quality Center,Spain,Seville,https://academiaquality.com/,,Independent,Medium,Intensive gel + acrylic sculpture courses,,,
Nailmania,Spain,Terrassa,https://www.nailmania.es/,,Independent,Medium,Gel sculpted nails course,,,
Nails Academy (Andreea),Austria,Vienna,https://nails-academy.at/,contact form only (AT rule),Independent,High,Central Vienna academy,,,
NailsAcademy.at,Austria,Vienna,https://www.nailsacademy.at/,contact form only (AT rule),Independent,High,Nageldesign + nail art in central Vienna,,,
Nageldesignausbildung.at,Austria,,https://nageldesignausbildung.at/,contact form only (AT rule),Independent,Medium,18+ years training experience,,,
Alexandra Soare Academy,Austria,Vienna,https://www.alexandrasoare.com/,contact form only (AT rule),Independent,High,15+ years trainer with own studio,,,
WIFI Wien,Austria,Vienna,https://www.wifiwien.at/,contact form only (AT rule),Public institute,Low,110-unit diploma course; procurement is formal/tender-like,,,
Nail Business Academy,Belgium,Deurne-Diest,https://www.nailbusinessacademy.be/,,Independent,High,Online + offline courses all levels; 6-day PSN programme,,,
Wellness Academie,Belgium,,https://www.wellnessacademie.be/,,Independent,Medium,Small groups with top instructors,,,
Beauty Academy,Belgium,,https://beautyacademy.be/,,Independent,Medium,Allround nail stylist programme,,,
Schoonheidsschool,Belgium,,https://www.schoonheidsschool.be/,,Independent (large),Medium,Gel + acrylic + polygel programme; big adult-ed provider,,,
Centrum Voor Avondonderwijs,Belgium,,https://www.centrumvooravondonderwijs.be/,,Independent (large),Low,Evening-school network; formal procurement,,,
